Load Level(users)	Throughput(req\s)	Response Time(ms)
1	13077.22	0.076
2	18970.83	0.105
3	19624.74	0.153
4	19691.9	0.203
5	20043.45	0.249
6	19811.75	0.303
7	19523.43	0.359
8	19669.06	0.407
9	19937.51	0.451
10	19755.13	0.506
