Load Level(users)	Throughput(req\s)	Response Time(ms)
1	13271.21	0.075
2	18446.86	0.108
3	18995.29	0.158
4	19256.94	0.208
5	19012.64	0.263
6	19618.83	0.306
7	19297.98	0.363
8	18848.05	0.424
9	18734.93	0.48
10	18816.25	0.531
