Load Level(users)	Throughput(req\s)	Response Time(ms)
1	13155.32	0.076
2	19583.88	0.102
3	19616.36	0.153
4	19423.88	0.206
5	19815.62	0.252
6	20123.1	0.298
7	19744.8	0.355
8	19920.5	0.402
9	19509.39	0.461
10	19659.06	0.509
