Load Level(users)	Throughput(req\s)	Response Time(ms)
1	13050.33	0.077
2	18709.6	0.107
3	19374.71	0.155
4	20218.92	0.198
5	20720.3	0.241
6	20330.48	0.295
7	20831.04	0.336
8	20342.65	0.393
9	20554.19	0.438
10	20348.03	0.491
