Load Level(users)	Throughput(req\s)	Response Time(ms)
1	13179.47	0.076
2	19132.37	0.105
3	19008.47	0.158
4	18963.39	0.211
5	19261.68	0.26
6	19272.72	0.311
7	18980.67	0.369
8	18665.18	0.429
9	18817.47	0.478
10	19037.88	0.525
