Load Level(users)	Throughput(req\s)	Response Time(ms)
1	13277.66	0.075
2	19150.95	0.104
3	18832.46	0.159
4	19104.42	0.209
5	18524.11	0.27
6	19496.7	0.308
7	18777.81	0.373
8	18890.32	0.423
9	19207.48	0.469
10	19381.46	0.516
