Load Level(users)	Throughput(req\s)	Response Time(ms)
1	13014.5	0.077
2	19460.02	0.103
3	19481.94	0.154
4	18836.21	0.212
5	19234.36	0.26
6	19379.27	0.31
7	19900.92	0.352
8	19099.74	0.419
9	19857.75	0.453
10	19543.68	0.512
