Load Level(users)	Throughput(req\s)	Response Time(ms)
1	7467.833496 0.074114
5	37976.000000 0.072711
10	75046.320312 0.076390
15	97644.914062 0.098976
20	98913.648438 0.146412
25	99629.617188 0.195139
30	99986.000000 0.244560
35	98675.718750 0.299100
40	98234.429688 0.351522
45	97957.968750 0.403731
50	98051.515625 0.454276
55	98058.179688 0.505194
60	97908.351562 0.557133
65	97358.132812 0.611862
70	97677.414062 0.660982
75	97734.531250 0.711822
80	97624.429688 0.763869
85	97970.015625 0.812165
90	97214.500000 0.870147
95	96867.085938 0.925062
100	97052.453125 0.974571
