Load Level(users)	Throughput(req\s)	Response Time(ms)
1	7682.316895 0.070801
5	37563.785156 0.074070
10	60914.734375 0.108836
15	60490.332031 0.193666
20	60497.285156 0.275976
25	60277.632812 0.360295
30	59736.050781 0.448044
35	60235.132812 0.526784
40	59884.101562 0.613560
45	59851.550781 0.697583
50	59645.332031 0.783994
55	59776.449219 0.865887
60	60006.617188 0.945725
65	59696.449219 1.034651
70	59846.714844 1.115268
75	59496.601562 1.206396
80	59760.601562 1.284526
85	59755.617188 1.368178
90	59506.515625 1.458223
95	59645.000000 1.538401
100	59434.984375 1.628129
