Load Level(users)	Throughput(req\s)	Response Time(ms)
1	7701.233398 0.070392
5	30074.849609 0.107217
10	30417.617188 0.270262
15	30950.166016 0.426326
20	31617.216797 0.574350
25	31024.482422 0.747485
30	31454.517578 0.895388
35	31752.716797 1.043966
40	31339.517578 1.218063
45	31130.500000 1.387173
50	31272.716797 1.540523
55	31392.416016 1.693630
60	31349.316406 1.855601
65	31430.482422 2.009736
70	31558.267578 2.159791
75	31558.882812 2.318140
80	31545.683594 2.477646
85	31580.550781 2.633188
90	31418.232422 2.806212
95	31546.367188 2.953115
100	31380.583984 3.128262
