Load Level(users)	Throughput(req\s)	Response Time(ms)
1	6329.283203 0.096374
5	33887.234375 0.087605
10	76007.250000 0.074858
15	100122.500000 0.097850
20	100355.429688 0.146459
25	100376.929688 0.196170
30	100116.718750 0.246844
35	99688.781250 0.298434
40	99667.117188 0.348707
45	99551.585938 0.399463
50	99378.351562 0.450559
55	99183.132812 0.501920
60	99266.164062 0.551899
65	99137.367188 0.603062
70	98983.000000 0.654616
75	98792.718750 0.706577
80	99159.429688 0.754210
85	99015.953125 0.805872
90	98835.367188 0.858021
95	98782.851562 0.909165
100	98532.929688 0.962274
