Load Level(users)	Throughput(req\s)	Response Time(ms)
1	6380.633301 0.095118
5	36501.015625 0.077526
10	60595.601562 0.109256
15	60657.898438 0.192623
20	60424.667969 0.275979
25	60437.464844 0.358802
30	59693.351562 0.447800
35	59662.566406 0.532051
40	59700.484375 0.615319
45	60361.367188 0.691541
50	58683.464844 0.797347
55	59748.851562 0.865883
60	59667.500000 0.951033
65	59543.199219 1.036882
70	59598.800781 1.119763
75	59682.066406 1.201930
80	59733.699219 1.284546
85	59467.316406 1.374655
90	59400.699219 1.460418
95	59544.699219 1.540642
100	59635.050781 1.622060
