Load Level(users)	Throughput(req\s)	Response Time(ms)
1	6442.616699 0.093775
5	32501.517578 0.093540
10	59743.882812 0.111659
15	59731.250000 0.196346
20	59442.667969 0.281557
25	59458.101562 0.365728
30	58937.234375 0.454307
35	58915.750000 0.539353
40	58978.617188 0.623481
45	58745.949219 0.711278
50	58796.382812 0.795684
55	58852.000000 0.879874
60	58901.683594 0.963921
65	58753.550781 1.051595
70	58744.101562 1.136868
75	58710.683594 1.222712
80	58635.398438 1.309609
85	58697.898438 1.393368
90	58563.183594 1.482020
95	58519.000000 1.568696
100	58620.750000 1.651169
