Load Level(users)	Throughput(req\s)	Response Time(ms)
1	6355.683105 0.095742
5	28732.000000 0.114597
10	29513.083984 0.279854
15	29761.933594 0.445051
20	30323.666016 0.600765
25	30535.000000 0.759838
30	30616.250000 0.921064
35	31057.750000 1.068182
40	30760.367188 1.241564
45	31165.849609 1.385182
50	30537.849609 1.578495
55	30880.349609 1.722304
60	30971.599609 1.878566
65	30677.849609 2.060036
70	30957.732422 2.202406
75	31052.117188 2.356564
80	30923.066406 2.528358
85	30680.650391 2.711696
90	31051.083984 2.839698
95	31144.283203 2.991660
100	30985.750000 3.168566
