Load Level(users)	Throughput(req\s)	Response Time(ms)
1	6206.633301 0.099442
5	24123.750000 0.146764
10	25857.433594 0.327096
15	26993.433594 0.496386
20	28421.599609 0.644770
25	28735.650391 0.811010
30	29278.617188 0.965744
35	29781.199219 1.116473
40	29574.017578 1.293739
45	29406.750000 1.471448
50	30245.982422 1.594418
55	30564.583984 1.740772
60	30562.650391 1.904459
65	30235.482422 2.091078
70	30651.433594 2.225046
75	30725.783203 2.382270
80	30558.017578 2.559224
85	30708.216797 2.709321
90	30073.900391 2.933914
95	30625.050781 3.043352
100	30538.683594 3.215815
